,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,1,0.3161764705882353,0.0,0.7372748769965827,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,2,0.3161764705882353,0.0,0.7291288165485158,0.7321454559564591,4.567433734337101e-06,7.386793186014984e-06,2.819359451677883e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,3,0.3161764705882353,0.0,0.7213445399321762,0.7224986492395401,4.739724317914806e-06,7.223936790978769e-06,2.4842124730639625e-06,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,4,0.3161764705882353,0.0,0.7138675299345278,0.71224671459198,4.601004093274241e-06,6.8502099566103425e-06,2.249205863336101e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,5,0.3161764705882353,0.0,0.7066746798216128,0.7041866847276688,4.586052000377094e-06,6.480457614088664e-06,1.8944055000247317e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,6,0.3161764705882353,0.0,0.6996205040052825,0.69170534658432,4.521472874330357e-06,6.342955202853773e-06,1.8214821011497406e-06,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,7,0.5220588235294118,0.5806451612903226,0.6927391138731265,0.6887240382432938,4.685886324296007e-06,6.2188673837226816e-06,1.532980945739837e-06,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6858569383621216,0.6787459127902984,4.839116172661306e-06,6.2589606386609375e-06,1.4198443523127935e-06,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.6791786270983079,0.6729398139715196,5.22199843544513e-06,6.372341886162758e-06,1.150343450717628e-06,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6721331816093594,0.6670773065686225,5.24143069924321e-06,6.399673566193087e-06,1.1582430943235522e-06,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,11,0.6838235294117647,0.8122270742358079,0.6650623760971368,0.655777406513691,4.939072823617607e-06,5.858958502358291e-06,9.198859061143594e-07,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,12,0.6838235294117647,0.8122270742358079,0.6577233157905877,0.6532913916707038,5.876889190403745e-06,6.9671491473854985e-06,1.090259956981754e-06,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,13,0.6838235294117647,0.8122270742358079,0.6507220852608774,0.6509027959108352,6.687088443868561e-06,7.419494977511931e-06,7.324066473302082e-07,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,14,0.6838235294117647,0.8122270742358079,0.6434158308833253,0.6483128454685211,6.798423783038743e-06,7.375811492238427e-06,5.773878228865215e-07,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,15,0.6838235294117647,0.8122270742358079,0.6376408981341942,0.6454401648640632,6.573821337951813e-06,6.98974190527224e-06,4.1592079469410237e-07,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,16,0.6838235294117647,0.8122270742358079,0.6310036702483308,0.6343460558652878,1.117459760280326e-05,1.1849571819766425e-05,6.749740464329079e-07,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,17,0.6838235294117647,0.8122270742358079,0.6256216104124107,0.6324461691379547,1.1073973837483209e-05,1.1967643331445288e-05,8.93669209744985e-07,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,18,0.6838235294117647,0.8122270742358079,0.6214118810260997,0.6220039009451866,1.0660031875886489e-05,1.131638782680966e-05,6.563561782968463e-07,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,19,0.6838235294117647,0.8122270742358079,0.6176877793143777,0.6195659719109536,1.0994969670719001e-05,1.1532453754625749e-05,5.37483856533072e-07,50
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,20,0.6838235294117647,0.8122270742358079,0.6156842229413051,0.6232447788119316,9.553567906550597e-06,1.0093677701661363e-05,5.401101930146979e-07,50
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,21,0.6838235294117647,0.8122270742358079,0.6124999143329322,0.6168624686598777,9.402904652233701e-06,9.605478226148989e-06,2.0257397181921988e-07,50
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,22,0.6838235294117647,0.8122270742358079,0.610206031331829,0.6146630529165268,9.743253031047061e-06,1.0028544238593895e-05,2.8529089490803017e-07,50
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,23,0.6838235294117647,0.8122270742358079,0.6075869377921609,0.6037718731164933,1.0575224223430268e-05,1.0704496162361465e-05,1.292722799917101e-07,50
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,24,0.6838235294117647,0.8122270742358079,0.6054135309714898,0.6046984715461731,1.1930695109185763e-05,1.2140862054366153e-05,2.1016690254782588e-07,50
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,25,0.6838235294117647,0.8122270742358079,0.6025590960885964,0.6070380896925927,1.3392122127697803e-05,1.363519550068304e-05,2.4307320245497976e-07,50
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,26,0.6838235294117647,0.8122270742358079,0.5996464864880431,0.6053547555208206,1.3093696907162666e-05,1.3298049452714622e-05,2.0435248870853684e-07,50
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,27,0.6838235294117647,0.8122270742358079,0.5962677183104497,0.5928925063908099,2.5978741177823395e-05,2.6770425392896868e-05,7.916838740129606e-07,50
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,28,0.6838235294117647,0.8122270742358079,0.5921595721852546,0.5923045950829982,1.3563197171606589e-05,1.3797691281070001e-05,2.3449430841537833e-07,50
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,29,0.6838235294117647,0.8122270742358079,0.5877519133044224,0.5870896861851216,1.3685240446648095e-05,1.3905434570915531e-05,2.2019450796051387e-07,50
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,30,0.6838235294117647,0.8122270742358079,0.5835891097199684,0.5888755028545857,1.5103299119800795e-05,1.525841980765108e-05,1.5512073048284947e-07,50
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,31,0.6838235294117647,0.8122270742358079,0.5795581866713131,0.5818536307513714,1.5005148270574864e-05,1.5161666851781774e-05,1.5651826856810658e-07,50
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,32,0.6838235294117647,0.8122270742358079,0.5766670154590233,0.576611086666584,1.5318122677854262e-05,1.5521965906373225e-05,2.038428021933214e-07,50
