,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,1,0.0,0.7910941689637782,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,2,0.0,0.9397890076382468,0.499296817251227,2.1513244519155705e-06,2.302351504113176e-06,1.510269953541865e-07,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,3,0.0,1.031526656153093,0.6790030110966075,1.1789649079219089e-06,1.247747718480241e-06,6.878278924205007e-08,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,4,0.0,0.6240320569686307,0.2190336414358832,1.1020227219660229e-07,1.170819459161976e-07,6.879673719595303e-09,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,5,0.0,0.9678992642701127,0.7752434166994961,3.135126007691724e-07,6.029133032825484e-07,2.89400702513376e-07,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,6,0.0,1.8319186640348823,1.0268993366848338,1.980794422706822e-06,6.810456397943199e-06,4.829661975236377e-06,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,7,0.0,0.7843322899505383,0.8680856021988967,2.788748361126636e-06,3.752845941562555e-06,9.640975804359186e-07,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,8,0.0,0.6194035451830798,0.7268681461160832,3.3272496580138977e-07,3.814900537690846e-07,4.8765084414981175e-08,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,9,0.0,0.6712918964051108,0.6812895406376233,4.48291302745929e-07,4.724519442333986e-07,2.416063082932851e-08,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,10,0.0,0.6920914156291321,0.6244269853288478,1.2566118812173954e-08,3.611724253005377e-07,3.4860630648836377e-07,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,11,0.0,0.8079133640036328,0.2193204639310186,3.464702302835576e-09,3.7638525185457183e-08,3.4173822882621614e-08,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,1e-05,12,0.0,0.6566374032324507,0.5749709668484602,3.800926720032294e-07,4.419384822540451e-07,6.184582446167043e-08,22,-1
