,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.3161764705882353,0.0,0.7372748582970863,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.3161764705882353,0.0,0.7291287955115823,0.7321454463601111,4.567443284031469e-06,7.386800916719949e-06,2.819357860062155e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.3161764705882353,0.0,0.7213445504506429,0.7224986219406129,4.739733412861824e-06,7.223936790978769e-06,2.4842036054906202e-06,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.3161764705882353,0.0,0.7138705580842262,0.7122466346025467,4.601197815645719e-06,6.850512818346033e-06,2.249315002700314e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.3161764705882353,0.0,0.7066618426173341,0.7041781657934189,4.575077582558151e-06,6.467354523920221e-06,1.89227694136207e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.3161764705882353,0.0,0.6996144570556342,0.6916987648010253,4.49729213869432e-06,6.31256943961489e-06,1.8152773009205703e-06,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.5220588235294118,0.5806451612903226,0.6927274266878763,0.688680318236351,5.014921953261364e-06,6.566810952790547e-06,1.551888999529183e-06,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6859501798947653,0.6789057247638702,5.6647190831427e-06,7.140782599890372e-06,1.4760634030608344e-06,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.6793477243068171,0.6733492984771728,5.13960185344331e-06,6.289378688961733e-06,1.1497768355184235e-06,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6727278139076981,0.6674857922196389,5.0981470849365e-06,6.21946674073115e-06,1.1213198831683258e-06,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,11,0.6838235294117647,0.8122270742358079,0.6662366810966941,0.6566031806468964,5.059611794422381e-06,5.9837034314114135e-06,9.240918643627083e-07,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,12,0.6838235294117647,0.8122270742358079,0.6596545869228887,0.6537666971683501,7.122181159502361e-06,8.078538485278841e-06,9.563575531501556e-07,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,13,0.6838235294117647,0.8122270742358079,0.6527156923331466,0.6519510935544968,5.531976057682186e-06,6.227093308552867e-06,6.951171940272616e-07,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,14,0.6838235294117647,0.8122270742358079,0.6460721317459556,0.6491891692280769,7.978388566698413e-06,8.854619409248699e-06,8.762310130805417e-07,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,15,0.6838235294117647,0.8122270742358079,0.6394522084909326,0.6455634168386459,6.493721230071969e-06,6.945560926396865e-06,4.518396110597678e-07,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,16,0.6838235294117647,0.8122270742358079,0.6330488686468086,0.6355157925486564,7.058343726384919e-06,7.472941888408968e-06,4.1459804833721137e-07,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,17,0.6838235294117647,0.8122270742358079,0.6273314444457784,0.6333721941709518,7.422477210639045e-06,7.804782399034593e-06,3.8230504628700146e-07,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,18,0.6838235294117647,0.8122270742358079,0.621975478588366,0.6222406545281409,7.5175962592766155e-06,7.810016541043296e-06,2.92420281766681e-07,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,19,0.6838235294117647,0.8122270742358079,0.6176535831946953,0.6206360286474227,7.5495345299714245e-06,7.748359166726004e-06,1.9882456570030627e-07,50
